batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2745.2806,375477.883,480.0556,1317887.251,0.0013,2236.4643,50.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2689.3783,383282.6858,599.2101,1611502.6903,0.0016,2269.963,54.1111,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,109469.9996,470810.3384,367.1053,40187017.2789,0.0008,2421.7399,53.8342,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2727.5175,377923.2008,559.6623,1526488.7864,0.0015,2170.8571,67.3571,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2669.157,386186.4002,600.1814,1601978.3335,0.0016,2176.2963,69.2963,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,112470.6923,458249.2246,420.1717,47257006.1818,0.0009,2422.0,61.3691,LD+MMA
