batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.0516,388600.1504,44.426,2356.8685,0.0001,180.0,45.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.2486,394572.2289,84.587,4419.5516,0.0002,2100.0,40.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,1024,50,156.0955,132072.0067,150.449,23484.4086,0.0011,2332.0,45.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,256,50,156.0234,132133.0038,351.13,54784.5031,0.0027,2422.0,45.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,64,50,156.1456,132029.6148,466.9455,72911.4839,0.0035,2422.0,46.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,16,50,156.0713,132092.4685,440.9795,68824.243,0.0033,2422.0,46.5
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,4,50,156.0402,132118.7786,441.498,68891.4442,0.0033,2422.0,47.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,1,50,156.0423,132116.9998,443.096,69141.7274,0.0034,2422.0,47.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,0,50,156.0558,132105.6054,443.561,69220.2569,0.0034,2422.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,1024,50,156.0621,132100.2386,443.6545,69237.6609,0.0034,2422.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,256,50,156.0168,132138.6358,442.9075,69100.9971,0.0034,2422.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,64,50,156.0932,132073.9359,442.202,69024.7243,0.0033,2422.0,49.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,16,50,156.0465,132113.4616,442.7745,69093.4101,0.0034,2422.0,49.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,4,50,156.0764,132088.1776,444.119,69316.4805,0.0034,2422.0,49.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,1,50,156.1553,132021.3965,445.161,69514.2571,0.0034,2422.0,49.5
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,8,0,50,156.1071,132062.1927,445.272,69510.1108,0.0034,2422.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,1024,50,156.0947,132072.6422,445.644,69562.6785,0.0034,2422.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,256,50,156.095,132072.4044,445.6675,69566.472,0.0034,2422.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,64,50,156.0798,132085.3002,445.878,69592.5348,0.0034,2422.0,50.5
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,16,50,156.0374,132121.1748,444.416,69345.5118,0.0034,2422.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,4,50,156.0174,132138.0692,444.307,69319.6398,0.0034,2422.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,1,50,156.0798,132085.2326,444.776,69420.5705,0.0034,2422.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,16,0,50,156.1238,132048.0758,446.217,69665.079,0.0034,2422.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,32,1024,50,156.0786,132086.265,446.842,69742.4863,0.0034,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,32,256,50,156.074,132090.1758,447.0235,69768.7489,0.0034,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,32,64,50,156.1655,132012.7904,447.217,69839.8651,0.0034,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,32,16,50,156.0592,132102.6857,448.289,69959.6348,0.0034,2422.0,52.0
