batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.6852,384013.8634,80.099,4300.1271,0.0002,180.0,43.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.6455,391597.3802,88.007,4633.1732,0.0002,2025.0,57.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,50,53.5368,385078.2431,117.982,6316.3745,0.0003,2025.0,54.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,50,52.4463,393084.8833,146.759,7696.9648,0.0004,2340.0,60.0
