batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2784,3056.3332,375577.5546,482.0348,1473258.97,0.0013,2139.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2857,3073.9513,383216.6292,588.8205,1810005.7126,0.0015,2274.7419
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,691,2993.5042,95176.3989,423.5867,1268008.4257,0.0045,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,0,692,2997.9911,95171.4854,420.009,1259183.2489,0.0044,2415.6087
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,692,2997.9297,95173.4337,421.4881,1263591.6714,0.0044,2415.3043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,0,691,2993.9764,95161.3887,422.9067,1266172.6598,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,0,693,3001.9635,95182.896,425.873,1278455.092,0.0045,2415.6087
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,0,693,3002.1946,95175.57,427.5726,1283656.0558,0.0045,2420.7826
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,0,692,2996.8857,95206.5911,429.4195,1286921.0761,0.0045,2421.3913
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,0,693,3001.8124,95187.6891,430.7759,1293108.3413,0.0045,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,0,693,3001.3805,95201.3854,432.0737,1296817.4459,0.0045,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,0,692,2996.9809,95203.5667,432.5347,1296298.0743,0.0045,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,0,692,2997.2975,95193.5096,434.9509,1303677.2804,0.0046,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,0,692,2996.986,95203.4045,435.0438,1303820.1115,0.0046,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,0,692,2997.4516,95188.6143,436.9521,1309742.8774,0.0046,2418.3478
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,0,691,2993.157,95187.4393,437.3328,1309005.6813,0.0046,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,65536,0,692,2997.1203,95199.1384,438.4229,1314006.1999,0.0046,2416.2174
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,0,691,2992.2097,95217.5758,439.2688,1314384.4274,0.0046,2419.8696
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,262144,0,692,2997.0795,95200.4327,440.2481,1319458.6563,0.0046,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,0,386,2993.4349,53167.7867,501.2519,1500464.9301,0.0094,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8,0,386,2993.3808,53168.7482,541.1601,1619898.1327,0.0102,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,0,386,2993.4482,53167.5504,548.0715,1640623.7471,0.0103,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32,0,386,2993.4404,53167.6888,548.0279,1640488.86,0.0103,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,64,0,386,2993.4393,53167.7092,550.8381,1648900.2947,0.0104,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,128,0,386,2993.3832,53168.7051,550.9376,1649167.3517,0.0104,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,256,0,386,2993.4706,53167.1531,551.7133,1651537.5283,0.0104,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,512,0,386,2993.3408,53169.4587,553.7705,1657623.7118,0.0104,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,1024,0,386,2993.5391,53165.9356,556.5767,1666134.1264,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,2048,0,386,2993.4394,53167.7063,557.5359,1668949.9422,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,4096,0,386,2993.4523,53167.4785,558.6869,1672402.6588,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8192,0,386,2993.5428,53165.8703,558.7714,1672706.001,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16384,0,386,2993.6167,53164.5575,559.9578,1676299.0303,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,0,386,2993.5535,53165.68,559.9402,1676210.9539,0.0105,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,65536,0,386,2993.6591,53163.805,560.9879,1679406.4264,0.0106,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,0,386,2993.6044,53164.7754,562.1679,1682908.3254,0.0106,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,262144,0,386,2993.6555,53163.868,563.5283,1687009.7182,0.0106,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2803,3142.6514,367754.4851,596.6793,1875154.9001,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,0,2671,3000.1733,367078.2436,601.3308,1804096.692,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,0,2668,2998.2931,366895.8837,600.0842,1799228.4452,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,0,2669,3001.7428,366611.5894,600.162,1801531.9647,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,0,2664,2997.9126,366392.3115,600.1572,1799218.7139,0.0016,2147.3333
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,0,2666,3001.5788,366219.519,599.8151,1800392.247,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,0,2664,3001.0473,366009.6022,600.1838,1801180.0521,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,0,2661,2998.5777,365898.5219,599.8757,1798773.8251,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,0,2659,2997.5608,365747.5567,599.9863,1798495.5019,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,0,2663,3002.8539,365652.0884,600.3283,1802698.0262,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,0,2661,3001.6631,365522.4187,600.3017,1801903.6269,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,0,2660,3001.5389,365400.1746,600.1466,1801363.3329,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16384,0,2657,2998.9359,365304.8684,600.0263,1799440.4579,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32768,0,2657,2999.6743,365214.9444,600.1416,1800229.4052,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,65536,0,2656,2999.3801,365113.3005,599.7923,1799005.2109,0.0016,2139.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,131072,0,2655,2998.7485,365052.7099,600.092,1799524.9818,0.0016,2137.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,262144,0,2657,3001.7323,364964.5573,599.7816,1800383.7486,0.0016,2137.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,1461,2993.4914,201234.8974,599.887,1795756.4346,0.003,2280.1818
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,0,1460,2991.7695,201212.8963,600.2287,1795746.0293,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,1459,2989.5155,201226.6859,600.3013,1794610.0067,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,0,1466,3003.889,201224.6499,599.9072,1802054.736,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,0,1458,2987.6673,201213.1638,600.2969,1793487.4234,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,0,1461,2995.739,201083.9165,599.9884,1797408.741,0.003,2285.3333
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,0,1459,2992.1592,201048.8975,600.142,1795720.3802,0.003,2286.0455
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,512,0,1460,2998.1068,200787.5802,600.3817,1800008.52,0.003,2286.6667
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,1024,0,1459,3000.292,200503.9188,600.4616,1801560.2313,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,2048,0,1453,2992.8386,200176.6462,599.2591,1793485.8708,0.003,2288.7391
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,4096,0,1451,3000.6741,199379.1215,600.0916,1800679.343,0.003,2294.6522
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8192,0,1440,2999.3444,197955.354,599.3299,1797596.8083,0.003,2301.6957
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16384,0,1410,2978.2166,195206.3428,600.6216,1788781.1243,0.0031,2318.4348
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32768,0,1387,3060.9057,186834.7306,601.3088,1840549.6144,0.0032,2357.2083
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,65536,0,1271,2998.6586,174763.0516,573.0707,1718443.3662,0.0033,2361.7308
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,131072,0,1271,2998.9161,174748.0471,570.3388,1710398.2249,0.0033,2362.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,262144,0,635,2996.4856,87376.0931,374.2345,1121388.297,0.0043,2376.3
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2888,3232.7738,368343.4591,560.718,1812674.3751,0.0015,2110.6667
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2750,3000.6106,377880.207,600.4265,1801646.2385,0.0016,2131.8
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,618,2995.477,85065.5226,449.408,1346191.2253,0.0053,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,8,0,618,2996.1913,85045.2425,435.8091,1305767.5147,0.0051,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,0,618,2997.1116,85019.1289,431.0843,1292007.7074,0.0051,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32,0,618,2997.5104,85007.8184,428.7856,1285289.1751,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,64,0,618,2997.7062,85002.2673,426.6243,1278894.3491,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,128,0,618,2997.7314,85001.5506,424.8991,1273733.4462,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,256,0,618,2998.1714,84989.0769,422.7369,1267437.7433,0.005,2422.0
