batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1927,345698.0826,46.399,55.3405,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.1078,372208.0832,46.399,51.3989,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,1,4.4165,93358.4318,114.178,504.2663,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,1,4.4018,93669.3346,172.398,758.8674,0.0018
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,0,1,4.6858,87992.2226,361.916,1695.8779,0.0041
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,0,1,5.114,80625.4029,424.547,2171.1257,0.0053
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,1,1.0675,386256.8938,424.547,453.1903,0.0011
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,0,1,1.0986,375308.4398,417.234,458.3766,0.0011
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32768,0,1,1.1075,372305.8785,441.0,488.3934,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,131072,0,1,1.1101,371427.1772,441.0,489.5488,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,1,1.9948,206700.2969,472.009,941.5432,0.0023
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,1,1.9871,207498.1402,496.04,985.6746,0.0024
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32768,0,1,2.1701,189997.5215,505.514,1097.0245,0.0027
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,131072,0,1,2.516,163875.5137,527.072,1326.1327,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0438,395011.7906,527.072,550.1625,0.0013
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0636,387665.9513,536.366,570.4725,0.0014
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,1,4.8786,84514.6618,553.06,2698.1823,0.0065
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,0,1,4.8782,84521.5907,485.763,2369.67,0.0057
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32768,0,1,4.9234,83747.1654,429.055,2112.3892,0.0051
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,131072,0,1,5.1017,80819.1388,375.671,1916.5694,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,1,1.1036,373614.5004,372.813,411.4323,0.001
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,16,0,1,1.1224,367363.3318,372.813,418.4334,0.001
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,32768,0,1,1.1377,362416.4628,400.395,455.5246,0.0011
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,131072,0,1,1.1468,359524.624,420.766,482.5509,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,0,1,2.1146,194986.0227,441.048,932.6388,0.0023
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,16,0,1,2.117,194765.8901,467.417,989.5157,0.0024
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,32768,0,1,2.2041,187070.9273,489.173,1078.1701,0.0026
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,131072,0,1,2.5255,163263.6732,513.163,1295.9757,0.0031
