batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
"tensor([[-0.9429,  0.1035,  1.7334,  ...,  0.6929, -1.8916,  0.7563],
        [-0.7168, -1.0176, -1.1914,  ...,  0.7734, -0.1245, -0.3699],
        [-1.1260,  0.7803, -0.5410,  ..., -2.3828, -0.9497,  0.5322],
        ...,
        [-0.4695,  0.5518, -1.3408,  ...,  0.1592,  1.3457, -2.1191],
        [ 0.7451, -0.7964, -0.7192,  ...,  0.7427, -1.2900,  0.7183],
        [-0.6846,  0.1660,  0.0168,  ...,  0.0545, -0.9541, -1.1553]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2637,2895.7879,375469.334,491.1942,1422394.3645,0.0013
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,697,3001.1988,95756.6875,414.3682,1243601.2044,0.0043
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,0,0,760,2994.4667,104646.618,324.9336,973002.8628,0.0031
"tensor([[-0.9429,  0.1035,  1.7334,  ...,  0.6929, -1.8916,  0.7563],
        [-0.7168, -1.0176, -1.1914,  ...,  0.7734, -0.1245, -0.3699],
        [-1.1260,  0.7803, -0.5410,  ..., -2.3828, -0.9497,  0.5322],
        ...,
        [-0.4695,  0.5518, -1.3408,  ...,  0.1592,  1.3457, -2.1191],
        [ 0.7451, -0.7964, -0.7192,  ...,  0.7427, -1.2900,  0.7183],
        [-0.6846,  0.1660,  0.0168,  ...,  0.0545, -0.9541, -1.1553]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,336,2996.493,46233.5347,491.543,1472905.1009,0.0106
"tensor([[-0.9429,  0.1035,  1.7334,  ...,  0.6929, -1.8916,  0.7563],
        [-0.7168, -1.0176, -1.1914,  ...,  0.7734, -0.1245, -0.3699],
        [-1.1260,  0.7803, -0.5410,  ..., -2.3828, -0.9497,  0.5322],
        ...,
        [-0.4695,  0.5518, -1.3408,  ...,  0.1592,  1.3457, -2.1191],
        [ 0.7451, -0.7964, -0.7192,  ...,  0.7427, -1.2900,  0.7183],
        [-0.6846,  0.1660,  0.0168,  ...,  0.0545, -0.9541, -1.1553]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,1,336,2996.2068,46237.951,504.1614,1510571.9543,0.0109
"tensor([[-0.9429,  0.1035,  1.7334,  ...,  0.6929, -1.8916,  0.7563],
        [-0.7168, -1.0176, -1.1914,  ...,  0.7734, -0.1245, -0.3699],
        [-1.1260,  0.7803, -0.5410,  ..., -2.3828, -0.9497,  0.5322],
        ...,
        [-0.4695,  0.5518, -1.3408,  ...,  0.1592,  1.3457, -2.1191],
        [ 0.7451, -0.7964, -0.7192,  ...,  0.7427, -1.2900,  0.7183],
        [-0.6846,  0.1660,  0.0168,  ...,  0.0545, -0.9541, -1.1553]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,1,375,2986.0759,51779.938,504.1595,1505458.5563,0.0097
"tensor([[-0.9429,  0.1035,  1.7334,  ...,  0.6929, -1.8916,  0.7563],
        [-0.7168, -1.0176, -1.1914,  ...,  0.7734, -0.1245, -0.3699],
        [-1.1260,  0.7803, -0.5410,  ..., -2.3828, -0.9497,  0.5322],
        ...,
        [-0.4695,  0.5518, -1.3408,  ...,  0.1592,  1.3457, -2.1191],
        [ 0.7451, -0.7964, -0.7192,  ...,  0.7427, -1.2900,  0.7183],
        [-0.6846,  0.1660,  0.0168,  ...,  0.0545, -0.9541, -1.1553]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,1,260,2998.9852,35746.2195,381.0115,1142647.7852,0.0107
"tensor([[ 0.2588,  1.5586, -2.7148,  ...,  0.3635, -1.1650, -0.8682],
        [ 1.2666,  0.6328,  0.1415,  ...,  0.4272, -0.0491,  0.3428],
        [-0.1223, -2.7344, -1.7490,  ...,  0.5928, -0.3391, -0.5361],
        ...,
        [ 2.1230,  1.1523,  2.5938,  ...,  2.4961,  1.2324, -1.1602],
        [ 0.8960,  1.3535, -1.2256,  ...,  1.0801,  0.4973, -0.9727],
        [-1.8535, -1.1641,  0.5259,  ..., -0.9668, -0.9619, -0.4202]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2947,3201.5863,379529.9169,568.57,1820325.9607,0.0015
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,614,2996.7241,84479.7656,407.8487,1222209.9263,0.0048
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,0,0,734,2998.2301,100939.7428,330.9268,992194.6627,0.0033
"tensor([[ 0.2588,  1.5586, -2.7148,  ...,  0.3635, -1.1650, -0.8682],
        [ 1.2666,  0.6328,  0.1415,  ...,  0.4272, -0.0491,  0.3428],
        [-0.1223, -2.7344, -1.7490,  ...,  0.5928, -0.3391, -0.5361],
        ...,
        [ 2.1230,  1.1523,  2.5938,  ...,  2.4961,  1.2324, -1.1602],
        [ 0.8960,  1.3535, -1.2256,  ...,  1.0801,  0.4973, -0.9727],
        [-1.8535, -1.1641,  0.5259,  ..., -0.9668, -0.9619, -0.4202]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,292,2992.0938,40238.2179,486.3955,1455340.9982,0.0121
"tensor([[ 0.2588,  1.5586, -2.7148,  ...,  0.3635, -1.1650, -0.8682],
        [ 1.2666,  0.6328,  0.1415,  ...,  0.4272, -0.0491,  0.3428],
        [-0.1223, -2.7344, -1.7490,  ...,  0.5928, -0.3391, -0.5361],
        ...,
        [ 2.1230,  1.1523,  2.5938,  ...,  2.4961,  1.2324, -1.1602],
        [ 0.8960,  1.3535, -1.2256,  ...,  1.0801,  0.4973, -0.9727],
        [-1.8535, -1.1641,  0.5259,  ..., -0.9668, -0.9619, -0.4202]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,1,293,3002.8167,40231.8391,495.159,1486871.6252,0.0123
"tensor([[ 0.2588,  1.5586, -2.7148,  ...,  0.3635, -1.1650, -0.8682],
        [ 1.2666,  0.6328,  0.1415,  ...,  0.4272, -0.0491,  0.3428],
        [-0.1223, -2.7344, -1.7490,  ...,  0.5928, -0.3391, -0.5361],
        ...,
        [ 2.1230,  1.1523,  2.5938,  ...,  2.4961,  1.2324, -1.1602],
        [ 0.8960,  1.3535, -1.2256,  ...,  1.0801,  0.4973, -0.9727],
        [-1.8535, -1.1641,  0.5259,  ..., -0.9668, -0.9619, -0.4202]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,1,304,2992.3497,41888.2614,498.6203,1492046.3833,0.0119
"tensor([[ 0.2588,  1.5586, -2.7148,  ...,  0.3635, -1.1650, -0.8682],
        [ 1.2666,  0.6328,  0.1415,  ...,  0.4272, -0.0491,  0.3428],
        [-0.1223, -2.7344, -1.7490,  ...,  0.5928, -0.3391, -0.5361],
        ...,
        [ 2.1230,  1.1523,  2.5938,  ...,  2.4961,  1.2324, -1.1602],
        [ 0.8960,  1.3535, -1.2256,  ...,  1.0801,  0.4973, -0.9727],
        [-1.8535, -1.1641,  0.5259,  ..., -0.9668, -0.9619, -0.4202]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,1,356,2986.6971,49146.1962,516.2712,1541945.8303,0.0105
