batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,54.12,380928.2999,43.464,2352.2721,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.3895,393511.2416,88.9652,4660.8374,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,50,220.9298,93314.0132,232.1406,51286.7662,0.0025
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,0,50,219.2194,94042.0347,456.4004,100051.8462,0.0049
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,50,219.1982,94051.1425,421.6513,92425.2184,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,0,50,219.2341,94035.7547,413.1195,90569.8872,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,0,50,216.3603,95284.7783,412.5868,89267.4069,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,0,50,216.3411,95293.2311,411.2605,88972.5613,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,0,50,216.4213,95257.9264,412.1787,89204.2506,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,0,50,216.3549,95287.1613,413.1038,89377.0201,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,0,50,216.7528,95112.2445,412.6805,89449.6341,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,0,50,217.2711,94885.3508,412.6435,89655.5104,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,0,50,218.8129,94216.7797,413.7089,90524.8296,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,0,50,220.618,93445.8985,411.5552,90796.4626,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,0,50,224.3436,91894.0447,406.7804,91258.5872,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,0,50,232.2142,88779.416,400.859,93085.1608,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,65536,0,50,242.5067,85011.425,391.3262,94899.2387,0.0046
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,0,50,249.188,82732.0776,380.852,94903.7577,0.0046
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,262144,0,50,261.971,78695.1463,370.5022,97060.8049,0.0047
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,0,50,445.6155,46263.7469,448.3978,199812.9932,0.0097
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8,0,50,445.7415,46250.6746,501.3616,223477.6298,0.0108
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,0,50,445.876,46236.7188,501.9482,223806.6531,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32,0,50,445.5453,46271.0342,502.9147,224071.2791,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,64,0,50,445.6897,46256.0469,503.9591,224609.3681,0.0109
