batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1987,343962.2711,41.784,50.0876,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.0927,377321.4199,62.906,68.7403,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.4109,93475.8131,138.009,608.7504,0.0015
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,1,1.0689,385726.4162,288.689,308.5901,0.0007
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,1,1,1.9802,208218.5391,318.986,631.6599,0.0015
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0825,380894.2262,346.873,375.489,0.0009
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.07,385355.1033,346.873,371.1423,0.0009
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.9451,83378.3834,470.829,2328.3101,0.0056
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,1,1,1.1044,373344.8818,518.088,572.1691,0.0014
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,1,1,2.1181,194659.594,529.048,1120.5993,0.0027
