batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.0967,375969.9649,125.815,137.9782,0.0003
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.0821,381025.1672,125.815,136.1476,0.0003
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.2297,97481.5334,238.334,1008.0794,0.0024
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,1,1.0684,385914.5172,268.589,286.9645,0.0007
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,1,1,1.9897,207228.6657,320.611,637.9104,0.0015
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,1000,1,1,2.405,171441.3784,367.475,883.7781,0.0021
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,10000,1,1,18.8895,21827.8682,215.007,4061.3683,0.0099
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,100000,1,1,150.9194,2732.0327,125.5338,18945.4917,0.0459
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0449,394612.5679,125.659,131.2967,0.0003
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0477,393535.3938,124.896,130.8567,0.0003
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.8773,84538.7128,234.564,1144.0284,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,1,1,1.104,373473.4003,247.805,273.5782,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,1,1,2.131,193488.6897,294.223,626.9778,0.0015
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,1000,1,1,2.3878,172679.2111,358.636,856.3374,0.0021
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,10000,1,1,18.8951,21821.3909,222.358,4201.4715,0.0102
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,100000,1,1,151.0263,2730.1004,127.2135,19212.5742,0.0466
