batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1218,367563.7729,126.222,141.5903,0.0003
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.312,95619.9722,198.116,854.2835,0.0021
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,1,1,4.3206,95430.7512,276.837,1196.0983,0.0029
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,1,1,4.7311,87151.0164,294.353,1392.6023,0.0034
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,1,1,5.1042,80780.2827,402.006,2051.9098,0.005
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,0,1,1,3.9931,103258.6008,380.369,1518.8328,0.0037
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,16,1,1,3.9506,104367.3441,363.237,1435.0153,0.0035
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,32768,1,1,4.5936,89759.0994,357.429,1641.8837,0.004
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,131072,1,1,4.5989,89655.0917,348.958,1604.831,0.0039
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,1,8.9136,46256.8395,415.283,3701.6836,0.009
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,1,1,8.909,46280.8792,497.715,4434.1484,0.0108
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,1,1,8.0862,50990.2449,497.607,4023.7453,0.0098
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,1,1,11.6678,35338.0215,408.095,4761.5696,0.0115
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0418,395786.059,408.095,425.1399,0.001
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.8728,84615.8289,413.243,2013.6546,0.0049
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,1,1,4.8769,84544.5196,403.552,1968.0908,0.0048
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32768,1,1,4.939,83481.6813,408.675,2018.4499,0.0049
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,131072,1,1,5.1437,80160.2561,370.445,1905.442,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,0,1,1,4.0076,102884.7368,357.734,1433.6408,0.0035
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,16,1,1,4.0006,103062.6994,348.833,1395.5556,0.0034
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,32768,1,1,4.2327,97411.3814,327.11,1384.5709,0.0034
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,131072,1,1,4.8019,85865.679,307.221,1475.239,0.0036
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,1,10.2394,40267.5795,390.15,3994.9117,0.0097
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,1,1,10.2834,40095.4062,477.655,4911.9146,0.0119
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,1,1,9.8528,41847.6031,479.319,4722.6434,0.0115
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,1,1,8.5398,48281.5335,487.366,4162.0306,0.0101
