batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1829,348549.9898,40.039,47.3641,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.1637,354306.5955,70.004,81.4657,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,1,4.5224,91171.2266,227.228,1027.6261,0.0025
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,1,1.0737,384011.7425,258.504,277.5581,0.0007
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,1,1.9797,208269.4497,286.843,567.8711,0.0014
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,1,1.9929,206894.0379,310.198,618.1902,0.0015
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32768,0,1,2.1834,188844.4166,524.156,1144.4254,0.0028
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,131072,0,1,2.4961,165181.9184,567.416,1416.3486,0.0034
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0498,392739.2144,579.167,608.0379,0.0015
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0627,387986.621,579.167,615.486,0.0015
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,1,4.9356,83540.1209,541.784,2674.0047,0.0065
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,1,1.104,373468.9895,543.279,599.7903,0.0015
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,0,1,2.1058,195801.6973,540.567,1138.3195,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,16,0,1,2.1006,196288.2678,546.64,1148.2545,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,32768,0,1,2.1973,187649.7807,543.753,1194.7711,0.0029
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,131072,0,1,2.5248,163303.6982,543.855,1373.1507,0.0033
