batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2637,2894.5317,375632.2806,467.1815,1352271.7585,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.0912,377843.5467,599.235,653.9074,0.0016
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,692,2996.9408,95204.8389,415.5104,1245259.9621,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,0,692,2996.7302,95211.5292,417.7987,1252030.0917,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,692,2996.791,95209.5971,419.2838,1256505.7988,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,0,693,3000.9647,95214.5784,422.9298,1269197.5059,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,0,692,2997.2442,95195.2035,425.0862,1274087.0311,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,0,692,2997.2729,95194.2897,425.4121,1275076.3209,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,0,692,2997.3145,95192.9703,427.9814,1282794.7843,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,0,691,2993.5826,95173.907,430.0029,1287249.1245,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,0,691,2998.6407,95013.3659,429.8101,1288845.9698,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,0,690,3002.2659,94761.3055,429.1338,1288373.7111,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,0,685,2997.7647,94215.8828,430.9428,1291865.2073,0.0046
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,0,680,3002.6611,93375.6626,428.5448,1286774.8596,0.0046
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,0,664,2980.3529,91861.0656,423.4991,1262176.6525,0.0046
