batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1042,373418.9231,64.085,70.7605,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.0949,376594.2595,64.085,70.1639,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.4005,93696.9631,103.283,454.5006,0.0011
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,1,1.0717,384725.854,181.74,194.7737,0.0005
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,1,1,1.9997,206187.1944,222.512,444.9619,0.0011
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0849,380055.4831,253.451,274.9654,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0707,385085.1731,253.451,271.374,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.873,84612.3742,433.877,2114.2865,0.0051
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,1,1,1.1059,372838.1473,445.414,492.5776,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,1,1,2.1142,195026.1461,500.664,1058.4848,0.0026
