batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.3412,386489.7158,70.06,3737.0877,0.0002,1410.0,34.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.4244,393249.0552,111.88,5865.2411,0.0003,1410.0,39.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,50,56.2213,366691.0478,145.919,8203.7541,0.0004,2280.0,52.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,50,53.3798,386210.2308,175.994,9394.5328,0.0005,2280.0,52.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,50,52.4683,392920.2574,225.199,11815.8001,0.0006,2280.0,53.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,50,59.0912,348881.7206,244.931,14473.2692,0.0007,2280.0,52.0
