batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.2218,387357.4518,85.402,4545.2442,0.0002,180.0,42.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.4046,393397.2236,88.46,4635.7152,0.0002,2100.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,1024,50,98.1833,209973.074,145.248,14260.9236,0.0007,2340.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,256,50,98.7349,208799.9036,328.203,32405.0989,0.0016,2392.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,64,50,98.8818,208489.8555,369.85,36571.4175,0.0018,2392.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,16,50,99.0105,208218.8285,526.268,52106.0394,0.0025,2370.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,4,50,99.0196,208199.6298,564.292,55875.9653,0.0027,2370.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,1,50,99.0326,208172.1943,600.733,59492.1779,0.0029,2370.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,50,99.0772,208078.6318,599.136,59360.7023,0.0029,2370.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,1024,50,99.131,207965.6202,599.697,59448.5723,0.0029,2362.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,256,50,99.06,208114.6561,599.717,59407.981,0.0029,2362.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,64,50,99.1176,207993.7357,600.315,59501.7911,0.0029,2362.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,16,50,99.1334,207960.6715,600.521,59531.6729,0.0029,2362.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,4,50,99.231,207756.1267,599.601,59498.9919,0.0029,2362.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,1,50,99.2192,207780.8767,600.085,59539.9266,0.0029,2362.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,0,50,99.189,207844.0371,600.347,59547.821,0.0029,2362.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,1024,50,99.2015,207817.7615,599.934,59514.3797,0.0029,2362.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,256,50,99.2831,207646.9829,600.013,59571.1705,0.0029,2362.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,64,50,99.3853,207433.5386,600.747,59705.4166,0.0029,2362.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,16,50,99.2865,207640.0373,600.738,59645.1458,0.0029,2362.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,4,50,99.3914,207420.8913,600.84,59718.3005,0.0029,2362.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,1,50,99.314,207582.4793,600.324,59620.5681,0.0029,2362.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,50,99.3841,207435.9807,600.158,59646.1765,0.0029,2362.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,1024,50,99.4954,207203.892,599.437,59641.2499,0.0029,2355.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,256,50,99.3541,207498.7601,599.375,59550.3361,0.0029,2355.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,64,50,99.4178,207365.7906,599.518,59602.7384,0.0029,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,16,50,99.4393,207320.9347,599.217,59585.7029,0.0029,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,4,50,99.5214,207149.8868,599.147,59627.9375,0.0029,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,1,50,99.4942,207206.5388,599.91,59687.5487,0.0029,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,0,50,99.5019,207190.3979,599.585,59659.8605,0.0029,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,1024,50,99.5425,207105.9753,600.35,59760.3297,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,256,50,99.5195,207153.7564,600.359,59747.4413,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,64,50,99.6193,206946.3121,599.182,59690.0806,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,16,50,99.5475,207095.5938,599.25,59653.8232,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,4,50,99.5705,207047.7999,599.128,59655.4458,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,1,50,99.6771,206826.3303,599.403,59746.736,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,0,50,99.6381,206907.1817,599.237,59706.8493,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,1024,50,99.64,206903.2572,600.178,59801.7431,0.0029,2355.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,256,50,99.7137,206750.3958,600.495,59877.5669,0.0029,2355.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,64,50,99.7587,206657.0296,600.603,59915.3931,0.0029,2355.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,16,50,99.7298,206717.0604,600.924,59930.0069,0.0029,2347.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,4,50,99.7135,206750.6862,600.924,59920.2599,0.0029,2347.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,1,50,99.8058,206559.5461,600.956,59978.901,0.0029,2347.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,0,50,99.8738,206418.8895,600.267,59950.9583,0.0029,2355.0,63.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,1024,50,99.9103,206343.5204,598.959,59842.1734,0.0029,2347.0,64.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,256,50,99.9095,206345.1085,598.761,59821.9307,0.0029,2347.0,64.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,64,50,99.9328,206297.0206,599.008,59860.5586,0.0029,2347.0,64.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,16,50,99.9265,206310.0247,599.364,59892.3593,0.0029,2347.0,64.0
