batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.7341,383663.9325,66.706,3584.3881,0.0002,885.0,62.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.7344,390936.9485,104.131,5491.2905,0.0003,885.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1024,50,56.6692,363793.0132,132.945,7533.8809,0.0004,2355.0,65.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,256,50,56.9569,361954.9168,160.983,9169.0984,0.0004,2295.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,64,50,57.216,360316.3193,206.085,11791.3505,0.0006,2295.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,16,50,57.2984,359797.6507,382.398,21910.8077,0.0011,2242.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,4,50,57.3097,359727.0154,400.803,22969.8949,0.0011,2242.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,50,57.3602,359410.0669,416.195,23873.0397,0.0012,2235.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,50,57.3458,359500.6307,576.401,33054.1632,0.0016,2235.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1024,50,57.3803,359284.3555,611.807,35105.6674,0.0017,2235.0,66.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,256,50,57.379,359292.7457,606.197,34782.9516,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,64,50,57.4088,359106.0552,603.209,34629.497,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,16,50,57.3202,359660.8818,601.063,34453.067,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,4,50,57.4304,358971.1176,600.466,34484.9827,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1,50,57.3577,359425.7951,600.257,34429.3711,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,0,50,57.4346,358944.9296,599.954,34458.0922,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,1024,50,57.4836,358638.584,599.615,34468.039,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,256,50,57.4419,358899.0069,599.89,34458.825,0.0017,2227.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,64,50,57.4287,358981.2502,599.984,34456.3287,0.0017,2227.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,16,50,57.4093,359103.1213,600.102,34451.4093,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,4,50,57.4499,358849.1546,600.665,34508.1358,0.0017,2235.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,1,50,57.4542,358822.4224,600.622,34508.2361,0.0017,2235.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,0,50,57.4223,359021.3852,600.522,34483.3701,0.0017,2235.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,1024,50,57.4666,358744.6845,600.292,34496.7498,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,256,50,57.4948,358568.7279,600.936,34550.7047,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,64,50,57.4885,358607.9595,601.079,34555.1457,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,16,50,57.5082,358485.4953,600.962,34560.2219,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,4,50,57.5094,358477.8906,600.547,34537.0886,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,1,50,57.5121,358461.0615,600.799,34553.2031,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,0,50,57.5243,358385.0373,600.669,34553.0547,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,1024,50,57.5079,358487.4278,600.324,34523.3455,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,256,50,57.4634,358764.6685,600.144,34486.3237,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,64,50,57.5514,358216.4041,600.053,34533.8692,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,16,50,57.5537,358201.896,600.052,34535.2104,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,4,50,57.4871,358616.6366,600.132,34499.8693,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,1,50,57.5786,358046.8726,600.599,34581.6586,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,0,50,57.5349,358318.8292,600.654,34558.5762,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,1024,50,57.6042,357887.8206,600.497,34591.1517,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,256,50,57.5772,358055.9515,600.829,34594.0245,0.0017,2227.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,64,50,57.538,358299.8974,600.98,34579.1596,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,16,50,57.599,357919.944,600.938,34613.4483,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,4,50,57.5741,358075.1684,600.722,34586.0075,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,1,50,57.593,357957.6048,600.714,34596.9058,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,0,50,57.5998,357915.0409,600.837,34608.1049,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,1024,50,57.5895,357978.9868,600.701,34594.0906,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,256,50,57.614,357827.0068,600.718,34609.7632,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,64,50,57.5667,358120.706,600.275,34555.8773,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,16,50,57.6178,357803.2829,600.42,34594.8879,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,4,50,57.6251,357758.2669,600.521,34605.061,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,1,50,57.6405,357662.6895,600.093,34589.6384,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,0,50,57.6126,357835.7705,600.101,34573.3687,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,1024,50,57.5809,358032.7137,599.779,34535.8098,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,256,50,57.6404,357662.9315,599.881,34577.3952,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,64,50,57.6366,357686.4565,599.844,34572.9885,0.0017,2227.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,16,50,57.6602,357540.3675,600.461,34622.6911,0.0017,2220.0,69.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,4,50,57.6756,357445.0862,600.379,34627.1908,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,1,50,57.6392,357670.3839,600.253,34598.1165,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,0,50,57.6611,357534.4151,599.873,34589.3628,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,1024,50,57.6543,357577.0181,599.852,34584.031,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,256,50,57.6709,357474.1612,600.068,34606.4388,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,64,50,57.6172,357806.8976,600.149,34578.9241,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,16,50,57.7048,357263.7772,600.267,34638.301,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,4,50,57.6728,357461.9506,600.301,34621.0587,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,1,50,57.6638,357517.9282,600.28,34614.4271,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,0,50,57.6985,357303.1574,600.266,34634.4256,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,1024,50,57.72,357169.9489,600.317,34650.2864,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,256,50,57.7059,357257.0351,600.713,34664.6915,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,64,50,57.6793,357421.7358,600.276,34623.5121,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,16,50,57.7099,357232.4643,600.082,34630.6608,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,4,50,57.7044,357266.1359,599.915,34617.7603,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,1,50,57.7462,357007.5263,599.868,34640.1227,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,0,50,57.6784,357427.2509,599.975,34605.6166,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,1024,50,57.7252,357137.7806,599.786,34622.7554,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,256,50,57.7109,357225.9651,599.947,34623.4999,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,64,50,57.755,356953.631,600.073,34657.1927,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,16,50,57.7535,356962.9016,600.475,34679.5095,0.0017,2220.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,4,50,57.7642,356896.3469,600.426,34683.1462,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,1,50,57.7667,356881.2104,600.465,34686.8701,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,0,50,57.7849,356768.9916,600.321,34689.4595,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,1024,50,57.7947,356707.9463,599.767,34663.3778,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,256,50,57.8186,356560.4909,599.99,34690.6064,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,64,50,57.8142,356587.6331,599.754,34674.3217,0.0017,2220.0,71.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,16,50,57.806,356638.2782,599.287,34642.4023,0.0017,2212.0,71.0
