batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
1,4096,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2638,2895.7663,375614.5261,490.989,1421789.3584,0.0013
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,696,2997.2795,95744.3351,414.6286,1242757.9614,0.0043
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,1,652,3000.0653,89608.2483,404.5903,1213797.3787,0.0045
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,1,20,3021.2225,2729.4704,129.6819,391797.8829,0.0475
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,1,20,12079.7153,682.6599,117.8966,1424157.4464,0.1727
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,0,1,751,2964.4987,104452.722,325.7024,965544.3673,0.0031
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,16,1,692,2991.9891,95362.4007,316.1439,945898.9934,0.0033
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,32768,1,20,5705.6762,1445.2866,119.7967,683521.0057,0.0829
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,131072,1,20,22816.9024,361.4135,115.0681,2625496.983,0.3184
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,336,2996.0776,46239.9452,474.9148,1422881.7404,0.0103
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,1,336,2996.1237,46239.2342,501.8199,1503514.5393,0.0109
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,1,376,2993.855,51783.1161,502.8614,1505494.0648,0.0097
1,4096,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,1,260,2999.0029,35746.0089,380.3048,1140535.2983,0.0106
1,4096,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2947,3206.0465,379001.9178,566.9739,1817744.7401,0.0015
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,614,2999.1414,84411.6754,406.562,1219336.8022,0.0048
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,1,580,2997.1182,79791.2401,394.6157,1182709.9414,0.0049
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_opt,32768,1,20,3019.9674,2730.6047,122.3857,369600.7146,0.0448
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_opt,131072,1,20,12079.5856,682.6672,118.4434,1430747.1365,0.1735
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,0,1,722,2976.8631,100002.1697,319.9659,952494.6218,0.0032
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,16,1,653,2994.4647,89913.5359,308.4758,923719.8524,0.0034
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,32768,1,20,6039.7741,1365.3387,119.2673,720347.6203,0.0874
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,131072,1,20,24159.0581,341.3352,114.8387,2774394.2075,0.3364
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,292,2992.9211,40227.0957,466.4074,1395920.415,0.0116
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,1,292,2991.4103,40247.4122,480.0749,1436101.1161,0.0119
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,1,305,2999.0842,41931.6813,486.4311,1458847.8643,0.0116
1,4096,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,1,357,2995.8344,49133.9301,503.5733,1508622.1125,0.0102
