batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2638,2896.625,375503.1729,477.2739,1382483.4002,0.0013,2072.2414
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2856,3070.7006,383488.0396,589.8704,1811315.3516,0.0015,2273.6129
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,693,3000.7673,95220.8407,423.6247,1271199.2617,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,0,691,2991.9833,95224.7789,419.4223,1254904.6704,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,693,3000.8749,95217.4268,421.4113,1264602.7287,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,0,692,2996.5496,95217.2669,424.1143,1270879.6988,0.0045,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,0,692,2996.3211,95224.53,425.7827,1275781.8002,0.0045,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,0,693,3002.1941,95175.5866,426.7117,1281071.2033,0.0045,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,0,691,2992.648,95203.6287,429.3869,1285003.7791,0.0045,2416.1667
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,0,692,2998.3193,95161.0671,430.8005,1291677.5343,0.0045,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,0,688,2985.9005,95004.5068,430.7232,1286096.6499,0.0045,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,0,689,2997.7283,94767.2001,429.4866,1287484.1575,0.0045,2419.8696
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,0,684,2993.1824,94222.3681,430.5719,1288780.1363,0.0046,2415.6087
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,0,679,2998.3216,93373.2901,429.4399,1287598.8171,0.0046,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,0,668,2997.7431,91878.3398,423.5204,1269605.4772,0.0046,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,0,643,2988.355,88717.6195,412.4546,1232560.8388,0.0046,2414.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,65536,0,618,2997.0801,85020.0231,400.3031,1199740.3874,0.0047,2407.9231
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,0,602,2998.5106,82779.3469,393.4208,1179676.487,0.0048,2407.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,262144,0,572,2998.7599,78647.5926,379.8811,1139172.2961,0.0048,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,0,336,2996.0353,46240.5977,515.7906,1545326.7673,0.0112,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8,0,336,2995.9572,46241.8038,526.519,1577428.3906,0.0114,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,0,335,2986.7527,46246.2614,529.3971,1581178.1431,0.0114,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32,0,336,2995.6017,46247.2921,530.4833,1589116.7566,0.0115,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,64,0,336,2995.5341,46248.3348,532.4588,1594998.6059,0.0115,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,128,0,336,2994.7784,46260.0049,534.376,1600337.6201,0.0116,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,256,0,336,2994.318,46267.1177,535.3344,1602961.5496,0.0116,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,512,0,336,2993.6548,46277.3683,536.5494,1606243.5778,0.0116,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,1024,0,336,2990.9186,46319.7043,536.5491,1604774.6835,0.0116,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,2048,0,337,2994.7986,46397.3705,537.554,1609866.0874,0.0116,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,4096,0,338,2993.5926,46553.7963,536.7385,1606776.2859,0.0115,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8192,0,341,2990.6575,47013.0896,536.5118,1604522.9442,0.0114,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16384,0,359,2989.6183,49511.9233,541.0232,1617452.8697,0.0109,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,0,374,2975.0981,51832.4112,539.6039,1605374.5139,0.0104,2422.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,65536,0,341,2994.6793,46949.9518,492.2357,1474088.1682,0.0105,2407.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,131072,0,260,2999.0633,35745.2884,404.7231,1213790.3076,0.0113,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,262144,0,260,2999.282,35742.6824,399.6185,1198568.6723,0.0112,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2831,3156.8371,369759.0357,584.9952,1846734.4296,0.0016,2167.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,0,2683,3000.4748,368690.3572,599.7812,1799628.5435,0.0016,2160.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,0,2677,2996.9394,368299.8151,599.9577,1798036.8602,0.0016,2160.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,0,2675,2997.5629,367948.1077,600.1653,1799033.268,0.0016,2160.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,0,2674,2999.2844,367599.4521,599.9224,1799337.9173,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,0,2675,3003.3123,367243.7293,599.7391,1801203.7532,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,0,2671,3000.4089,367049.4152,601.2475,1803988.3537,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,0,2670,3001.7252,366751.1043,600.3663,1802134.4778,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,0,2667,2999.8033,366573.7256,600.1707,1800393.938,0.0016,2152.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,0,2665,2999.4968,366336.2594,599.7482,1798942.9489,0.0016,2146.1667
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,0,2663,2998.9036,366133.7429,599.863,1798931.3096,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8192,0,2667,3005.0022,365939.5183,600.0191,1803058.6612,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16384,0,2660,2997.771,365859.4529,600.2026,1799269.8834,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32768,0,2659,2998.2241,365666.6438,599.8714,1798548.9185,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,65536,0,2658,2997.9342,365564.4688,600.048,1798904.407,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,131072,0,2657,2997.5982,365467.8969,600.1028,1798866.904,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,262144,0,2653,2994.6131,365281.4595,599.8855,1796425.0704,0.0016,2145.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,1462,2995.5034,201237.3752,599.726,1796481.2973,0.003,2280.5455
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8,0,1468,3007.7946,201237.5314,600.1903,1805249.0337,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,1463,2997.6823,201228.6546,600.1632,1799098.5196,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32,0,1460,2991.9048,201203.8005,600.1403,1795562.698,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,64,0,1464,2999.9261,201215.5855,599.9649,1799850.2445,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,128,0,1464,3001.8338,201087.7129,599.6876,1800162.451,0.003,2286.0455
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,256,0,1463,3004.9446,200742.3236,600.3615,1804053.0637,0.003,2281.9091
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,512,0,1464,3008.0833,200669.9333,599.7508,1804100.4455,0.003,2286.6818
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,1024,0,1460,3002.8331,200471.556,599.486,1800156.2504,0.003,2287.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,2048,0,1457,3002.244,200098.8816,598.8867,1798004.1156,0.003,2288.0435
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,4096,0,1451,3001.3893,199331.6131,599.539,1799450.0573,0.003,2295.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,8192,0,1440,2999.4962,197945.333,600.4426,1801025.3381,0.003,2301.6957
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16384,0,1417,2986.7845,195612.7009,599.8436,1791603.4876,0.0031,2316.3478
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32768,0,1354,2989.6856,186734.3583,599.0236,1790892.2791,0.0032,2359.5652
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,65536,0,1271,2998.7016,174760.5461,572.6422,1717183.1748,0.0033,2362.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,131072,0,1271,2998.756,174757.3755,570.4607,1710672.5437,0.0033,2362.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,262144,0,635,2996.132,87386.4056,368.5647,1104268.592,0.0042,2376.5333
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2886,3214.8149,370144.6261,559.3224,1798117.8685,0.0015,2120.0606
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2769,3002.8255,380210.3717,600.0805,1801936.9586,0.0016,2146.4839
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,618,2998.2674,84986.3563,448.6212,1345086.429,0.0053,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,8,0,618,2999.1736,84960.6775,434.6031,1303450.0775,0.0051,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,0,617,2995.3692,84930.9342,429.8434,1287539.5528,0.0051,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32,0,617,2995.0225,84940.7643,428.8076,1284288.5428,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,64,0,617,2995.3438,84931.6544,425.7069,1275138.5762,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,128,0,617,2995.5295,84926.39,423.7578,1269379.0924,0.005,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,256,0,617,2996.1883,84907.7153,421.3093,1262321.9342,0.005,2420.6
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,512,0,617,2997.257,84877.4394,419.0016,1255855.4962,0.0049,2418.36
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,1024,0,617,2998.634,84838.4642,417.876,1253057.0589,0.0049,2418.64
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,2048,0,616,2996.2638,84767.9661,416.4257,1247721.2164,0.0049,2415.8077
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,4096,0,615,2997.6308,84591.762,413.1484,1238466.2394,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,8192,0,613,2993.1652,84442.4601,412.4842,1234633.2448,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16384,0,613,2994.587,84402.3674,410.6038,1229588.6979,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32768,0,610,3000.9095,83812.3519,406.9276,1221152.8404,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,65536,0,600,2995.4008,82589.9885,400.2993,1199056.7939,0.0048,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,131072,0,572,3017.9016,78148.7516,385.6503,1163854.6655,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,262144,0,515,2997.7556,70834.0548,363.9861,1091141.3627,0.0051,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,0,293,2994.4424,40344.3526,500.0801,1497461.0559,0.0124,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,8,0,293,2993.7744,40353.3543,510.9094,1529547.3949,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,0,293,2993.7924,40353.112,511.9487,1532668.1272,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32,0,293,2994.5474,40342.9384,512.9685,1536108.4721,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,64,0,293,2992.9039,40365.0911,513.3116,1536292.4103,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,128,0,293,2993.1992,40361.109,514.1862,1539061.7348,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,256,0,294,3002.5408,40372.8598,515.2594,1547087.2483,0.0128,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,512,0,293,2992.3613,40372.411,515.8731,1543678.5984,0.0128,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,1024,0,293,2991.3228,40386.4276,516.0514,1543676.2987,0.0128,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,2048,0,294,2998.8298,40422.8198,516.3304,1548386.9958,0.0128,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,4096,0,295,3000.1239,40542.8169,516.8424,1550591.2342,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,8192,0,296,2993.5089,40770.1444,518.5486,1552279.7582,0.0127,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16384,0,300,2996.8364,41275.2117,518.8688,1554965.0216,0.0126,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,0,306,2998.6236,42075.6245,523.3768,1569410.1069,0.0124,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,65536,0,328,3001.9092,45051.3064,530.2428,1591740.6289,0.0118,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,0,357,2995.6639,49136.7275,538.0901,1611937.1707,0.011,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,262144,0,332,2986.2113,45840.4257,507.5705,1515712.6677,0.0111,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2752,3180.3238,356786.3121,591.2408,1880337.0288,0.0017,2137.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,8,0,2594,3003.7986,356065.7981,599.4851,1800732.4373,0.0017,2137.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,16,0,2589,3001.4852,355653.3809,599.9972,1800882.6032,0.0017,2137.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,32,0,2586,3000.7466,355328.7063,600.0643,1800640.7472,0.0017,2135.25
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,64,0,2585,3001.9923,355043.9155,599.9231,1800964.4492,0.0017,2130.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,128,0,2582,3000.6971,354784.9411,598.8005,1796818.9065,0.0017,2130.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,256,0,2576,2994.9967,354634.1864,600.3172,1797947.9577,0.0017,2130.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,512,0,2578,2998.6896,354472.4576,600.1572,1799685.0439,0.0017,2130.0
