batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2840.3842,362905.893,599.061,1701563.377,0.0017,2152.0,80.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2773.6422,371638.4664,600.1355,1664561.2758,0.0016,2205.0,81.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,5114.8705,10076424.7922,367.9088,1881806.0591,0.0,2422.0,67.52,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2891.1046,356539.2056,577.1591,1668627.3608,0.0016,2115.0,79.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2880.4999,357851.8325,539.1921,1553142.7748,0.0015,2122.0,75.4828,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,5603.535,9197695.2675,295.2981,1654713.2037,0.0,2130.0,61.7593,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.4306,308395.9769,438.3139,1465033.8324,0.0014,1830.0,66.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.223,308599.7994,411.4611,1374371.9912,0.0013,1830.0,64.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,6238.0913,8262079.7117,248.9333,1552868.6748,0.0,1830.0,53.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3988.0897,258467.6473,303.8641,1211837.3741,0.0012,1530.0,54.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3987.6227,258497.9164,286.9801,1144368.1527,0.0011,1530.0,52.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,7006.3259,7356153.3558,205.5484,1440139.189,0.0,1530.0,44.3333,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4954.7692,208040.3962,228.3509,1131425.8118,0.0011,1230.0,46.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.4103,208139.4909,217.1237,1075285.7395,0.001,1230.0,45.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,8323.1415,6192326.2355,188.9939,1573023.3803,0.0,1230.0,40.6154,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2782.051,370515.1824,599.9594,1669117.6571,0.0016,2092.0,80.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2715.8837,379542.0822,599.8171,1629033.4019,0.0016,2145.0,80.25,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,2979.9367,17295537.5946,205.012,610922.7866,0.0,2422.0,64.5,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2791.3579,369279.8264,600.0526,1674961.6694,0.0016,2091.0,80.5714,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2742.3031,375885.5648,581.5379,1594753.2667,0.0015,2126.2857,79.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3186.1657,16176060.0356,159.909,509496.57,0.0,2130.0,62.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3176.4959,324506.0575,473.7451,1504849.4325,0.0015,1830.0,69.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.4317,324512.6107,442.8741,1406759.2214,0.0014,1830.0,66.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3429.3384,15029023.4423,130.0718,446060.2838,0.0,1827.0909,53.4545,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.2942,271597.4329,327.3504,1242391.0417,0.0012,1530.0,56.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3797.2463,271457.8087,307.712,1168458.1437,0.0011,1530.0,54.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3762.1607,13699469.9862,102.6937,386350.2333,0.0,1530.0,44.3333,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4705.2135,219074.4705,246.6924,1160740.2249,0.0011,1230.0,48.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4707.704,218958.5725,232.9178,1096508.023,0.0011,1230.0,46.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4303.5032,11976198.1914,94.1298,405087.9617,0.0,1230.0,39.8519,ST
