batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2766.1893,372639.7727,599.6238,1658672.8983,0.0016,2214.8571,57.8929
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2705.3402,381021.2721,598.8325,1620045.6144,0.0016,2260.3571,61.5357
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,32768,2500,2864.3943,359863.9157,600.771,1720845.0316,0.0017,2235.0,65.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,16384,2500,2872.857,358803.8505,599.926,1723501.6044,0.0017,2227.0,67.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,8192,2500,2882.2693,357632.143,599.794,1728767.8403,0.0017,2220.0,68.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,4096,2500,2889.9011,356687.6868,600.135,1734330.8177,0.0017,2212.0,70.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,2048,2500,2897.1989,355789.2288,599.926,1738104.9281,0.0017,2205.0,72.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1024,2500,2904.0596,354948.6957,601.262,1746100.6555,0.0017,2205.0,73.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,256,2500,2909.5453,354279.4697,600.238,1746419.6266,0.0017,2197.0,74.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,64,2500,2914.4629,353681.6885,600.269,1749461.7161,0.0017,2197.0,75.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,16,2500,2918.5292,353188.9079,600.389,1752252.8453,0.0017,2190.0,76.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,4,2500,2922.5152,352707.2027,599.751,1752781.3969,0.0017,2190.0,76.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,2500,2925.3693,352363.0882,600.321,1756160.6074,0.0017,2190.0,77.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,2928.1567,352027.6631,600.811,1759268.7395,0.0017,2182.0,78.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,32768,2500,3247.109,317449.2018,600.369,1949463.5658,0.0019,2280.0,78.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,16384,2500,3252.3783,316934.8829,599.923,1951176.5757,0.0019,2280.0,79.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,8192,2500,3254.3733,316740.5962,600.0965,1952937.9241,0.0019,2280.0,79.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,4096,2500,3256.5634,316527.5905,600.211,1954625.1461,0.0019,2280.0,80.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,2048,2500,3258.1328,316375.1232,600.128,1955296.6928,0.0019,2272.0,80.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,1024,2500,3259.8783,316205.7174,600.414,1957276.5594,0.0019,2272.0,80.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,256,2500,3261.4651,316051.8728,600.268,1957753.1291,0.0019,2272.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,64,2500,3262.7841,315924.1017,600.405,1958991.9164,0.0019,2272.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,16,2500,3263.8619,315819.7828,600.35,1959459.4815,0.0019,2272.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,4,2500,3264.5577,315752.4662,600.0479,1958891.1329,0.0019,2272.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,1,2500,3350.0534,307694.2485,599.865,2009579.7588,0.0019,2295.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,0,2500,2949.4975,349480.6002,600.178,1770223.5009,0.0017,2167.0,81.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,32768,2500,3266.38,315576.3158,600.043,1959968.425,0.0019,2272.0,82.0
