batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,1,mlp_up_proj,36,16,4096,12288,cublas,0,0,128000,3667.7635,56208.2123,416.2838,1526830.5731,0.0074,2422.0,59.6757,LD+MMA
16,1,mlp_up_proj,36,16,4096,12288,cublas_bf16,0,0,128000,3667.6804,56209.4856,410.9965,1507403.7707,0.0073,2422.0,63.8378,LD+MMA
16,1,mlp_up_proj,36,16,4096,12288,cutlass_sm80,0,0,192000,7185.5195,43036.2264,208.909,1501119.7012,0.0049,2422.0,47.0,LD+MMA
16,1,mlp_down_proj,36,16,12288,4096,cublas,0,0,128000,4199.6909,49088.9536,439.604,1846200.7066,0.009,2422.0,64.0,LD+MMA
16,1,mlp_down_proj,36,16,12288,4096,cublas_bf16,0,0,128000,4201.1576,49071.8149,430.8813,1810200.108,0.0088,2422.0,66.0,LD+MMA
16,1,mlp_down_proj,36,16,12288,4096,cutlass_sm80,0,0,192000,12439.8346,24858.6621,182.7404,2273260.923,0.0074,2287.0,44.0,LD+MMA
