batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.4037,386037.8005,88.745,4739.3105,0.0002,885.0,32.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.2352,394673.6084,93.192,4867.9,0.0002,2272.0,46.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1024,50,55.8333,369238.949,128.645,7182.6798,0.0003,2272.0,49.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,256,50,56.2474,366520.5112,159.582,8976.0801,0.0004,2295.0,49.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,64,50,56.3938,365569.1431,209.483,11813.5481,0.0006,2295.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,16,50,56.4937,364922.6286,230.492,13021.3544,0.0006,2280.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,4,50,56.4961,364907.4496,248.834,14058.1473,0.0007,2280.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,50,56.7626,363194.2755,475.13,26969.6032,0.0013,2272.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,50,56.5639,364469.8622,563.246,31859.4,0.0015,2272.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1024,50,64.0643,321799.0338,566.793,36311.22,0.0018,2272.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,256,50,64.08,321720.3416,606.452,38861.4508,0.0019,2272.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,64,50,64.1524,321357.3101,601.174,38566.7555,0.0019,2385.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,16,50,63.8943,322655.4783,599.604,38311.2725,0.0019,2377.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,4,50,63.8721,322767.5729,598.482,38226.3028,0.0019,2377.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1,50,71.4643,288477.4817,598.498,42771.2442,0.0021,2377.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,0,50,63.581,324245.5857,595.382,37854.9544,0.0018,2392.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,1024,50,63.6051,324122.2803,597.077,37977.1662,0.0018,2407.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,256,50,63.7556,323357.5659,598.808,38177.34,0.0019,2407.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,64,50,63.9081,322585.8107,600.377,38368.9473,0.0019,2400.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,16,50,63.8333,322963.6151,600.518,38333.0637,0.0019,2392.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,4,50,63.8979,322637.4514,600.981,38401.4004,0.0019,2392.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,1,50,71.4662,288469.897,601.334,42975.0469,0.0021,2392.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,0,50,63.3861,325242.4814,602.221,38172.4231,0.0019,2392.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,1024,50,64.2149,321044.5397,601.412,38619.6115,0.0019,2407.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,256,50,64.3712,320265.0597,601.915,38745.9848,0.0019,2407.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,64,50,64.4417,319914.4875,601.756,38778.1977,0.0019,2400.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,16,50,64.6093,319084.5136,601.533,38864.6561,0.0019,2400.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,4,50,64.5896,319181.9832,601.8,38870.0333,0.0019,2400.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,1,50,75.4099,273383.7336,601.737,45376.9336,0.0022,2400.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,0,50,64.3269,320485.4725,594.921,38269.435,0.0019,2400.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,1024,50,66.1648,311583.4418,595.632,39409.8471,0.0019,2407.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,256,50,66.1807,311508.3998,592.633,39220.865,0.0019,2407.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,64,50,66.2087,311376.7082,592.062,39199.6477,0.0019,2400.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,16,50,66.1659,311578.0262,591.838,39159.4987,0.0019,2400.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,4,50,66.0842,311963.0464,592.266,39139.4526,0.0019,2400.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,1,50,82.6427,249457.6562,585.803,48412.3152,0.0023,2407.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,0,50,66.0411,312166.7353,586.463,38730.6775,0.0019,2415.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,1024,50,72.5597,284122.6049,583.264,42321.4445,0.0021,2415.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,256,50,72.5599,284121.7434,577.092,41873.7332,0.002,2415.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,64,50,72.565,284101.9314,569.937,41357.4511,0.002,2415.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,16,50,72.5685,284087.8728,564.914,40994.9859,0.002,2415.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,4,50,72.5612,284116.6925,556.447,40376.452,0.002,2415.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,1,50,113.2973,181962.3682,555.494,62935.9643,0.0031,2415.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,128,0,50,72.5649,284102.3268,531.947,38600.6548,0.0019,2415.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,1024,50,86.3395,238776.576,527.939,45581.9735,0.0022,2415.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,256,50,86.345,238761.3113,513.034,44297.9156,0.0021,2422.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,64,50,86.3389,238778.2603,497.606,42962.7353,0.0021,2422.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,16,50,86.3448,238761.7813,480.851,41518.993,0.002,2422.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,4,50,86.3426,238767.9755,490.949,42389.8033,0.0021,2422.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,1,50,114.4818,180079.6752,470.717,53888.5233,0.0026,2422.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,256,0,50,86.3506,238745.7993,460.083,39728.4431,0.0019,2407.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,1024,50,114.0953,180689.7303,459.876,52469.675,0.0025,2422.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,256,50,114.0859,180704.5088,435.272,49658.4135,0.0024,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,64,50,114.0849,180706.1402,417.626,47644.823,0.0023,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,16,50,114.0786,180716.1197,401.344,45784.7641,0.0022,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,4,50,114.0939,180691.8841,388.111,44281.1003,0.0021,2422.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,1,50,225.5932,91385.0277,356.379,80396.6876,0.0039,2415.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,512,0,50,114.0776,180717.7831,318.9,36379.3326,0.0018,2415.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,1024,50,114.1843,180548.7681,318.961,36420.3532,0.0018,2415.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,256,50,114.1618,180584.3856,329.365,37600.9095,0.0018,2407.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,64,50,114.1897,180540.2475,364.299,41599.2063,0.002,2407.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,16,50,114.167,180576.1288,375.648,42886.6221,0.0021,2407.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,4,50,114.1784,180558.2259,375.053,42822.9383,0.0021,2407.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,1,50,448.2356,45993.3158,248.9545,111590.2779,0.0054,2415.0,46.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,1024,0,50,114.1868,180544.8516,198.682,22686.8664,0.0011,2415.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,1024,50,224.2873,91917.122,243.124,54529.6253,0.0026,2392.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,256,50,224.2778,91921.0158,280.106,62821.5569,0.003,2392.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,64,50,224.2484,91933.0794,241.014,54046.9962,0.0026,2392.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,16,50,224.2685,91924.8202,240.952,54037.9475,0.0026,2392.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,4,50,224.2801,91920.074,241.191,54094.3406,0.0026,2392.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,1,50,892.1644,23107.6739,144.6161,129021.3519,0.0063,2422.0,44.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2048,0,50,224.2537,91930.8972,163.194,36596.8569,0.0018,2392.0,47.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4096,1024,50,446.4846,46173.6933,202.7742,90535.5801,0.0044,2400.0,45.0
