batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.2842,386903.31,43.774,2332.4637,0.0001,1110.0,47.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.3911,393498.8859,96.483,5054.8514,0.0002,1110.0,46.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,50,53.497,385364.1599,126.693,6777.7009,0.0003,2287.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,0,50,156.006,132147.7894,317.078,49466.0584,0.0024,2325.0,49.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,50,51.4959,400339.6351,350.658,18057.4434,0.0009,2422.0,49.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,50,52.4233,393257.2618,473.102,24801.5676,0.0012,2422.0,57.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,50,56.434,365308.7933,509.662,28762.2745,0.0014,2287.0,56.0
16,256,mlp_down_proj,36,4096,12288,4096,ptx_sm80,0,0,50,165.8833,124279.2019,528.6465,87693.6212,0.0043,2302.0,50.0
