batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1763,350511.5213,71.403,83.9934,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.1581,356013.9665,71.403,82.6952,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,1,4.3669,94417.7127,115.699,505.251,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,1,1.068,386064.8398,135.897,145.1379,0.0004
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,1,1.9725,209032.9432,164.317,324.1148,0.0008
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,16,0,1,1.9826,207972.2597,186.826,370.3932,0.0009
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,32768,0,1,2.1844,188753.7333,363.118,793.2011,0.0019
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,131072,0,1,2.5227,163443.5255,454.076,1145.4916,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0405,396279.7974,491.841,511.7453,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0619,388293.5177,491.841,522.2707,0.0013
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,1,4.9335,83574.5119,530.836,2618.8921,0.0064
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,1,1.1038,373557.3029,532.067,587.2732,0.0014
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,0,1,2.1075,195640.0356,543.189,1144.786,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,16,0,1,2.1063,195750.5699,528.148,1112.4582,0.0027
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,32768,0,1,2.1703,189979.1413,529.84,1149.9261,0.0028
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,131072,0,1,2.5267,163184.1332,531.313,1342.467,0.0033
