batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.4838,385459.6079,164.52,8799.1541,0.0004,2287.0,47.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.3932,393483.1518,164.037,8594.424,0.0004,2280.0,48.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,50,56.2134,366742.7835,216.457,12167.7746,0.0006,2280.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,ptx_sm80,0,0,50,93.6953,220030.793,315.293,29541.4606,0.0014,2310.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,bf16_custom,0,0,50,98.7653,208735.6939,414.19,40907.5988,0.002,2370.0,54.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,50,53.2049,387480.2446,514.929,27396.7398,0.0013,2370.0,55.0
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,50,52.2507,394556.3482,566.031,29575.5126,0.0014,2340.0,57.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,50,59.2467,347966.2387,569.553,33744.1221,0.0016,2220.0,55.0
16,256,mlp_down_proj,36,4096,12288,4096,ptx_sm80,0,0,50,98.3154,209690.7954,607.205,59697.6273,0.0029,2220.0,54.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,0,50,104.7684,196775.3041,600.5175,62915.2859,0.0031,2340.0,55.0
