batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,131072,0,50,262.2358,78615.6597,384.748,100894.7123,0.0049,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,262144,0,50,288.2079,71531.1525,370.817,106872.3877,0.0052,2415.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,0,50,510.706,40367.3394,450.726,230188.4789,0.0112,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,8,0,50,510.8276,40357.7285,494.6422,252676.8882,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,0,50,510.4835,40384.939,495.61,253000.7031,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32,0,50,510.7423,40364.4723,496.5425,253605.2535,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,64,0,50,510.9355,40349.2102,496.7205,253792.1266,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,128,0,50,510.6309,40373.2748,497.0953,253832.2543,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,256,0,50,510.8138,40358.8236,498.4335,254606.6972,0.0124,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,512,0,50,510.2021,40407.2075,497.7052,253930.2322,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,1024,0,50,510.2955,40399.8132,498.4718,254367.9349,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,2048,0,50,509.8253,40437.0741,499.2775,254544.2962,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,4096,0,50,508.4689,40544.9401,499.6308,254046.7642,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,8192,0,50,505.7492,40762.9794,500.7767,253267.3835,0.0123,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16384,0,50,499.026,41312.1614,501.2058,250114.7301,0.0121,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32768,0,50,489.3875,42125.8029,505.4438,247357.8974,0.012,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,65536,0,50,458.1958,44993.519,507.7594,232653.2423,0.0113,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,131072,0,50,419.5324,49140.0551,514.7898,215970.9771,0.0105,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,262144,0,50,449.7268,45840.8147,503.414,226398.7688,0.011,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,50,54.6917,376946.3279,496.348,27146.1258,0.0013,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,8,0,50,56.493,364927.1959,508.592,28731.9031,0.0014,2422.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,16,0,50,56.8695,362511.5762,521.931,29681.942,0.0014,2280.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,32,0,50,56.9352,362093.258,535.148,30468.745,0.0015,2280.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,64,0,50,57.0602,361299.7278,547.356,31232.2554,0.0015,2280.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,128,0,50,57.0517,361353.62,562.164,32072.4192,0.0016,2182.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,256,0,50,57.0386,361436.7323,581.146,33147.7507,0.0016,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,512,0,50,57.1149,360953.7103,592.263,33827.0551,0.0016,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,1024,0,50,57.0461,361389.3397,602.073,34345.9009,0.0017,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,2048,0,50,57.1486,360740.9859,611.049,34920.5961,0.0017,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,4096,0,50,57.1161,360946.1208,601.986,34383.1064,0.0017,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,8192,0,50,57.098,361060.7929,601.123,34322.9108,0.0017,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,16384,0,50,57.1598,360670.5476,600.879,34346.1012,0.0017,2175.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,32768,0,50,57.0694,361241.4199,600.13,34249.0788,0.0017,2167.0
