batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1881,347024.8359,76.398,90.7721,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.1051,373093.8676,76.398,84.4296,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.4219,93245.2038,125.825,556.38,0.0013
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,0,1,1,4.0221,102512.0675,171.487,689.743,0.0017
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,1,9.6321,42806.343,427.323,4116.0367,0.01
16,256,mlp_up_proj,36,4096,4096,12288,wmma_bf16,0,1,1,7.739,53277.5066,474.729,3673.9477,0.0089
16,256,mlp_up_proj,36,4096,4096,12288,wmma_bf16_opt,0,1,1,4.4075,93548.3673,454.888,2004.9307,0.0049
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,1,1.0679,386100.9919,454.888,485.7744,0.0012
16,256,mlp_up_proj,36,4096,4096,12288,fp8_tcgen05,0,1,1,0.6075,678762.2939,446.248,271.0751,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0847,380128.008,446.248,484.0358,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0718,384685.3002,465.125,498.5345,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.8802,84487.8531,460.328,2246.4886,0.0054
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,0,1,1,3.9409,104623.9878,440.008,1734.0451,0.0042
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,1,10.2494,40228.4371,422.585,4331.2376,0.0105
16,256,mlp_down_proj,36,4096,12288,4096,wmma_bf16,0,1,1,8.0283,51357.7434,469.399,3768.4896,0.0091
16,256,mlp_down_proj,36,4096,12288,4096,wmma_bf16_opt,0,1,1,4.2964,95968.7465,455.606,1957.4501,0.0047
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,1,1,1.1064,372658.8889,443.386,490.5707,0.0012
16,256,mlp_down_proj,36,4096,12288,4096,fp8_tcgen05,0,1,1,0.6505,633890.9188,457.796,297.7752,0.0007
