batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.4665,385584.0484,117.706,6293.332,0.0003,1402.0,46.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.386,393537.1796,117.384,6149.2795,0.0003,1402.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,1,50,56.3634,365766.4649,157.661,8886.3106,0.0004,2295.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,2,50,56.8154,362856.7623,190.845,10842.9302,0.0005,2295.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,4,50,57.0404,361425.4404,243.031,13862.5796,0.0007,2287.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1,50,57.1731,360586.6962,264.263,15108.723,0.0007,2250.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,2,50,57.1166,360943.1946,282.988,16163.3084,0.0008,2250.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,4,50,56.8083,362902.1191,513.896,29193.5448,0.0014,2250.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,1,50,56.8709,362502.4611,568.569,32335.0336,0.0016,2242.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,2,50,57.2113,360345.9322,609.547,34872.9489,0.0017,2250.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,16,4,50,57.256,360064.5393,608.64,34848.2712,0.0017,2250.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,1,50,57.2121,360340.7673,605.083,34618.054,0.0017,2250.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,2,50,56.8709,362502.4674,600.978,34178.1621,0.0017,2242.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,32,4,50,56.8522,362621.7093,600.753,34154.1315,0.0017,2250.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,1,50,57.1878,360493.9513,600.353,34332.8457,0.0017,2250.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,64,2,50,57.2469,360121.4671,600.436,34373.1087,0.0017,2250.0,57.0
