batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.1037,373560.3367,76.585,84.5306,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,1,1.0959,376232.7384,76.585,83.9302,0.0002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,1,4.5119,91384.9765,245.36,1107.0317,0.0027
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,1,1.075,383543.8053,267.785,287.874,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0886,378745.2514,267.785,291.5212,0.0007
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,1,1.0737,384022.1101,302.821,325.1329,0.0008
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,0,1,4.9402,83461.4542,444.133,2194.109,0.0053
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,1,1.1029,373844.8665,516.47,569.6194,0.0014
