batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2745.5813,375436.76,487.8842,1339525.7796,0.0013,2239.2143,48.9643,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2688.9236,383347.5032,599.7232,1612609.9298,0.0016,2269.963,53.963,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,2612.4581,473481.4994,421.1124,1100138.6191,0.0009,2400.6667,45.5185,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2702.4252,381432.2536,547.009,1478250.9303,0.0014,2196.8889,56.5556,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2651.628,388739.3466,600.098,1591236.6824,0.0015,2192.963,59.4815,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,3000,2688.1343,460152.0733,409.581,1101008.7433,0.0009,2422.0,51.0,LD+MMA
